title,company,location,salary,job_type,description,posted_date
job openings,Not mentioned,Chennai - Kovilambakkam,"18,000 - 45,000",Full Time Jobs,Office Assistant/Helper,"23 Apr 2025, 07:02 PM"
WANTED FOR OFFICE ASSISTANT,Not mentioned,Chennai - Alathur,"25,800 - 45,800",Full Time Jobs,Office Assistant/Helper,"23 Apr 2025, 07:00 PM"
OFFICE WORK DONE FOR PART TIME OR FULL TIME,Not mentioned,Chennai - Padi,"25,000 - 36,000",Full Time Jobs,Office Assistant/Helper,"23 Apr 2025, 05:53 PM"
Executive Assistant,Doctor Rekha Ayurveda,Trivandrum - Vattiyoorkavu,"10,000 - 22,000",Full Time Jobs,Office Assistant/Helper - Clerk,"23 Apr 2025, 01:46 PM"
WANTED FOR OFFICE ASSISTANT,Not mentioned,Chennai - 2Nd Main Road,"25,800 - 45,800",Full Time Jobs,Office Assistant/Helper,"23 Apr 2025, 12:32 PM"
Front Office Executive,RENEW PLUS HAIR AND SKIN CARE,"Bangalore - Madiwala, BTM Layout, Koramangala, HSR Layout","12,000 - 20,000",Full Time Jobs,Office Assistant/Helper - Front-desk,"23 Apr 2025, 11:55 AM"
permanent Office job vacancy in Chennai,Not mentioned,Chennai - Villivakkam,"21,500 - 38,500",Full Time Jobs,Office Assistant/Helper - Inventory Incharge,"23 Apr 2025, 11:04 AM"
OFFICE ASSISTANT EXECUTIVE,Not mentioned,Chennai - Villivakkam,"25,000 - 32,000",Full Time Jobs,"Office Assistant/Helper - Front desk, Inventory Incharge, Pantry Boy","23 Apr 2025, 10:59 AM"
Office Staff Wanted,Not mentioned,Chennai - Sriperumbudur,"18,500 - 24,500",Full Time Jobs,"Office Assistant/Helper - Clerk, Front desk, Inventory Incharge","23 Apr 2025, 10:53 AM"
WANTED OFFICE ASSISTANT HELPERS,Not mentioned,Chennai - Loyola College,"54,000 - 60,000",Full Time Jobs,Office Assistant/Helper,"23 Apr 2025, 10:06 AM"
WANTED OFFICE ASSISTANT HELPERS,Not mentioned,Chennai - Ambattur,"42,000 - 56,000",Full Time Jobs,Office Assistant/Helper,"23 Apr 2025, 10:04 AM"
WANTED FOR OFFICE ASSISTANT,Not mentioned,Chennai - 2Nd Main Road,"25,800 - 45,800",Full Time Jobs,Office Assistant/Helper,"23 Apr 2025, 10:04 AM"
WANTED OFFICE ASSISTANT /HELPER,Not mentioned,Thanjavur - Gnanam Nagar,"15,000 - 45,000",Full Time Jobs,Office Assistant/Helper,"22 Apr 2025, 10:21 PM"
OFFICE WORK DONE FOR PART TIME OR FULL TIME,Not mentioned,Salem - Meyyanur,"25,000 - 36,000",Full Time Jobs,Office Assistant/Helper,"22 Apr 2025, 10:17 PM"
WANTED OFFICE ASSISTANT /HELPER,Not mentioned,Chennai - Pozhichalur,"15,000 - 45,000",Full Time Jobs,Office Assistant/Helper,"22 Apr 2025, 10:11 PM"
We required helper for our cloud kitchen,Not mentioned,Guwahati - 6th Mile,"12,000 - 15,000",Full Time Jobs,Office Assistant/Helper - Inventory Incharge,"22 Apr 2025, 07:44 PM"
WANTED OFFICE ASSISTANT,Not mentioned,Chennai - Urapakkam,"52,000 - 60,000",Full Time Jobs,Office Assistant/Helper,"22 Apr 2025, 06:44 PM"
Wanted Office Assistant in Saibarkatte,Not mentioned,"Udupi - Barkur, Brahmavar","5,000 - 8,000",Full Time Jobs,Office Assistant/Helper - Front-desk,"22 Apr 2025, 06:16 PM"
Need Helper in my firm Bharat fire solutions,Not mentioned,"Lucknow - Vikas Nagar, Khurram Nagar, Aliganj, 60 Feet Road + 1 more","6,000 - 6,500",Full Time Jobs,Office Assistant/Helper,"22 Apr 2025, 06:00 PM"
WANTED FOR OFFICE ASSISTANT,Not mentioned,Chennai - 2Nd Main Road,"28,000 - 45,800",Full Time Jobs,Office Assistant/Helper,"22 Apr 2025, 04:56 PM"
NEW BRANCH OFFICE OPENING FOR CHENNAI,Not mentioned,"Pondicherry - Tirunallar, Thirukkanur, Lawspet, Puducherry + 1 more","20,000 - 35,000",Full Time Jobs,Office Assistant/Helper,"22 Apr 2025, 04:27 PM"
"office assistant,sales executive,pramoter,",Not mentioned,Raipur - Amleshwar,"14,500 - 22,000",Full Time Jobs,Office Assistant/Helper - Front desk,"22 Apr 2025, 03:46 PM"
parament job vacancy,Not mentioned,Chennai - Karappakam,"18,000 - 45,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Front desk, Inventory Incharge, Pantry Boy","22 Apr 2025, 03:02 PM"
PERMANENT JOB VACANCY,Not mentioned,Chennai - Broadway,"18,000 - 35,000",Full Time Jobs,Office Assistant/Helper,"22 Apr 2025, 01:52 PM"
Part Time Full Time Experience and Fresher job in Buxar for Office Assistant Helper,Not mentioned,"Buxar - Chausa, Churamanpur, Naya Bazar, Simri + 1 more","25,000 - 45,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry-Boy, Inventory-Incharge, Front-desk","22 Apr 2025, 01:41 PM"
GOOD JOB OPPORTUNITY FOR FRESHERS..,Not mentioned,"Chennai - St. Thomas Mount, Tambaram, Maraimalai Nagar","18,000 - 40,000",Full Time Jobs,Office Assistant/Helper,"22 Apr 2025, 01:29 PM"
permanent Office job,Not mentioned,Chennai - Ekkatuthangal,"25,800 - 38,500",Full Time Jobs,Office Assistant/Helper - Inventory Incharge,"22 Apr 2025, 12:20 PM"
WANTED FOR OFFICE ASSISTANT,Not mentioned,Chennai - Ambattur,"25,000 - 45,800",Full Time Jobs,Office Assistant/Helper,"22 Apr 2025, 12:09 PM"
INVITING FOR ONLINE APPLICATION FOR OFFICE ASSISTANCE AND SUPPORTERS,Not mentioned,Haldwani - Full City,"13,795 - 14,545",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry Boy, Inventory Incharge, Front desk","22 Apr 2025, 11:50 AM"
