title,company,location,salary,job_type,description,posted_date
Delivery Associates,One World Logistics Private Limited,"Sindhudurg - Kudal, Sawantwadi, Malvan, Kankavali","20,000 - 25,000",Full Time Jobs,"Delivery/Collections - Courier-Delivery, Other-Delivery/Collection, Van-Delivery, Courier/Packet-Collection","24 Apr 2025, 11:49 AM"
Delivery Boy Full time Salary 10k - 15k,abc,Bangalore - 100 Feet Road-Koramangala,"10,000 - 15,000",Full Time Jobs,Delivery/Collections - Food-Delivery,"12 Apr 2025, 02:57 PM"
Hiring- Delivery Boy || Location -Delhi-NCR || Salary Upto-25000 || Bike & Mobile Must ||,Not mentioned,"Delhi - Shalimar Bagh, Model Town, Burari, Mukundpur + 1 more","15,000 - 25,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Courier-Delivery, Other-Delivery/Collection + 4 more","08 Mar 2025, 06:04 PM"
Delivery Jobs || upto 60k package Available,Not mentioned,"Hyderabad - Bowenpally, Kukatpally, Panjagutta, Malkajgiri","12,000 - 20,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Courier-Delivery, Other-Delivery/Collection","05 Dec 2024, 10:30 AM"
Urgent requirement for delivery boy,Not mentioned,"Mumbai - Goregaon West, Chembur, Andheri West, Fort + 1 more","12,000 - 40,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Courier-Delivery, Courier/Packet-Collection","09 Sep 2024, 01:15 PM"
Hiring Delivery Executive||Salary upto-35000||Location Delhi- NCR,Not mentioned,"Delhi - Abul Fazal Enclave, Adhyapak Nagar, Adchini, Alaknanda + 1 more","35,000 - 36,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Courier-Delivery, Other-Delivery/Collection + 3 more","09 Aug 2024, 01:09 PM"
Delivery Executives|| Upto65k| | Spot Offer || Two Wheeler Must,Rajesh Logistics,"Hyderabad - Mehadipatnam, Kukatpally, Kondapur, Secunderabad + 1 more","12,000 - 65,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Courier-Delivery, Other-Delivery/Collection + 4 more","09 Aug 2024, 01:08 PM"
Hiring- Delivery Boy || Location -Delhi-NCR || Salary Upto-30000 || Bike & Mobile Must || Food & Courier Delivery ||,Not mentioned,"Delhi - Dwarka, Karol Bagh, Lajpat Nagar, Mukherjee Nagar + 1 more","10,000 - 30,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Courier-Delivery, Other-Delivery/Collection + 4 more","09 Aug 2024, 01:07 PM"
HIRING COLLECTION EXECUTIVES || BANKING SECTOR || BIKE MUST || BULK HIRING ||,Not mentioned,"Chennai - Anna Nagar, Adyar, Porur, Anna Salai + 1 more","25,000 - 35,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Courier-Delivery, Other-Delivery/Collection + 4 more","14 May 2024, 11:24 AM"
Urgently hiring for delivery boys,Confidential,"Chennai - Besant Nagar, Adambakkam, Agaram, Ashok Nagar + 1 more","20,000 - 30,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Courier-Delivery, Other-Delivery/Collection + 4 more","14 May 2024, 11:23 AM"
Requirement Of Delivery,Not mentioned,"Mumbai - Dadar, Andheri Kurla Road, Goregaon East, Byculla + 1 more","15,000 - 25,000",Full Time Jobs,"Delivery/Collections - Food-Delivery, Courier-Delivery, Cash-Collection, Documents-Collection","14 May 2024, 11:23 AM"
"Delivery, Loading and unloading",Not mentioned,"Nagpur - Gittikhadan, Pratap Nagar, Ambazari, Jaitala + 1 more","10,000 - 12,000",Full Time Jobs,Delivery/Collections,"04 May 2025, 01:28 AM"
Delivery Boys,Flipkart,"Rajpura - Dashmesh Colony, Focal Point, Gobind Colony, Ganesh Nagar + 4 more","25,000 - 30,000",Full Time Jobs,Delivery/Collections - Courier-Delivery,"03 May 2025, 10:28 PM"
Delivery person cum Helper,Crystal Clean Laundry,"Nashik - Serene Meadows, Anandvalli","10,000 - 12,000",Full Time Jobs,Delivery/Collections - Other-Delivery/Collection,"03 May 2025, 09:40 PM"
Driver -Tata Ace,Joseph & Co.,"Coimbatore - Madukarai, Sundarapuram, Kurichi, Malumichampatti + 1 more","17,000 - 18,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery","03 May 2025, 08:28 PM"
HIRING FOR DELIVERY EXECUTIVES,pemotech solution,"Chennai - Maduravoyal, Koyambedu, Virugambakkam, Thiruverkadu + 1 more","15,000 - 18,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Courier-Delivery, Other-Delivery/Collection + 4 more","03 May 2025, 08:27 PM"
Delivery collection,Not mentioned,"Tirupati - A P Housing Board Colony, Akkarampalle, AIR Bypass Road, Annasamipalle + 1 more","17,000 - 18,000",Full Time Jobs,Delivery/Collections,"03 May 2025, 06:47 PM"
Field executive,Not mentioned,"Ghaziabad - Mohan Nagar, Ghantaghar","12,500 - 14,500",Full Time Jobs,Delivery/Collections,"03 May 2025, 02:25 PM"
delivery rider,AVL projects,"Lucknow - Lucknow City, Lucknow Kanpur Road, Lucknow - Faizabad Road, Lucknow Cantonment + 1 more","21,000 - 25,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery","03 May 2025, 11:29 AM"
Delivery boy,Not mentioned,"Eastgodavari - Bikkavolu, Rangampeta","15,000 - 16,000",Full Time Jobs,Delivery/Collections,"03 May 2025, 11:16 AM"
Delivery boy,Not mentioned,"Nanded - Harsh Nagar, Wajegaon, CIDCO Colony, Borgaon + 1 more","15,000 - 40,000",Full Time Jobs,Delivery/Collections,"03 May 2025, 08:24 AM"
POLLACHI AND UDUMALAIPETTAI || REQUIREMENT FIELD COLLECTION EXECUTIVES || BANKING COLLECTION ||,GALAXY GROUPS,"Pollachi - Achipatti, Jeeva Nagar, Rathinasabapathy Puram, Venkatasa Colony + 1 more","15,000 - 20,000",Full Time Jobs,"Delivery/Collections - Other-Delivery/Collection, Cash-Collection, Recovery-Collection","03 May 2025, 05:45 AM"
field job,shiva,Delhi - Uttam Nagar,"14,000 - 18,000",Full Time Jobs,Delivery/Collections - Other-Delivery/Collection,"02 May 2025, 08:36 PM"
Delivery staff,Entery Automation PVT LTD,Thrissur - Kallur,"10,000 - 11,000",Full Time Jobs,Delivery/Collections - Other-Delivery/Collection,"02 May 2025, 08:31 PM"
Delivery boy,Not mentioned,"Agarmalwa - Chhawani, Awar, Sarafa Bazar","12,000 - 13,000",Full Time Jobs,Delivery/Collections,"02 May 2025, 05:51 PM"
Delivery Executive,Solaimalai Enterprises,Mannargudi - Ashesham,"1,000 - 10,500",Full Time Jobs,Delivery/Collections - Other-Delivery/Collection,"02 May 2025, 01:20 PM"
delivery riders,mini bharath,"Hubli - Sadhankeri, Dharwad Goa Road, Mukambika Nagar","15,000 - 16,000",Part Time Jobs,Delivery/Collections - Courier-Delivery,"02 May 2025, 01:13 PM"
Required field boy,individual,"Delhi - Shahdara, Dilshad Garden, Seemapuri, Seelampur + 1 more","15,000 - 18,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Other-Delivery/Collection, Courier/Packet-Collection","02 May 2025, 01:05 PM"
Two wheeler delivery job,Not mentioned,Trivandrum - Pattom,"16,000 - 30,000",Full Time Jobs,Delivery/Collections,"02 May 2025, 12:57 PM"
Delivery Boy,Hollywood Dry Cleaner,Kolkata - Bara Bazar,"10,000 - 25,000",Full Time Jobs,Delivery/Collections - Other-Delivery/Collection,"02 May 2025, 12:09 PM"
Courier Delivery Boy,Not mentioned,"Hyderabad - Mathrusree Nagar, Miyapur","10,000 - 12,000",Full Time Jobs,Delivery/Collections,"02 May 2025, 10:29 AM"
Itams delivery boy job,Not mentioned,"Nizamabad - Mudakpalli, Badsi, Borgaon P, Khanjar + 1 more","50,000 - 51,000",Full Time Jobs,Delivery/Collections,"02 May 2025, 04:40 AM"
Deliver boy.,Not mentioned,"Guwahati - Fancy Bazaar, Machkhowa","10,000 - 15,000",Full Time Jobs,Delivery/Collections,"01 May 2025, 06:34 PM"
Vendor Assessment,GemTech Paras,Delhi - Preet Vihar,"20,000 - 25,000",Full Time Jobs,Delivery/Collections - Documents-Collection,"01 May 2025, 04:39 PM"
Delivery Executive,Instakart Services PVt ltd,Ludhiana - Jalandhar Bye Pass Road,"15,000 - 30,000",Full Time Jobs,Delivery/Collections - Courier-Delivery,"01 May 2025, 03:34 PM"
Food Delivery Rider Shillong,Netfoodish,"Shillong - Malki, Nongmynsong, Nongthymmai, Bara Bazar + 1 more","10,000 - 30,000",Full Time Jobs,Delivery/Collections - Food-Delivery,"01 May 2025, 11:47 AM"
Delivery Boy,Dark Store,"Jaipur - Mansarovar, Jagatpura, Malviya Nagar, Vaishali Nagar + 1 more","25,000 - 35,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Courier-Delivery","01 May 2025, 09:24 AM"
Field Assistant Trainee -,Bharat Financial Inclusion Limited,"Lucknow - Alambagh, Faizabad Road, Lucknow - Faizabad Road","10,250 - 18,750",Full Time Jobs,"Delivery/Collections - Cash-Collection, Recovery-Collection","01 May 2025, 08:40 AM"
Van Sales,VR (Vita Revive) The Home Grown,Trivandrum - Pothencode,"10,000 - 15,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Other-Delivery/Collection, Van-Delivery","30 Apr 2025, 11:37 PM"
Delivery boy,Core corporates,"Gorakhpur - Betiahata, Golghar","13,500 - 14,500",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Courier-Delivery","30 Apr 2025, 12:30 PM"
CMS Is Urgently Hiring for Cash Pickup And Drop For ATM,CMS Infosystem Ltd,Rajkot - Full City,"12,000 - 16,000",Full Time Jobs,Delivery/Collections,"30 Apr 2025, 11:01 AM"
