title,company,location,salary,job_type,description,posted_date
Degree Holder - Female Fresher,Skyline,"Coimbatore - Ramanathapuram, Puliakulam, Peelamedu, Sowri Palayam","14,000 - 15,000",Full Time Jobs,BPO/ Telecaller,"03 May 2025, 11:06 AM"
Urgently required Telecaller cum supervisor and field executive in Guwahati. Upper Assam candidate can also apply for field collection.,Not mentioned,"Guwahati - Vip Road, Hengrabari","8,000 - 12,000",Full Time Jobs,BPO/ Telecaller,"03 May 2025, 10:26 AM"
Quality Controller QC - Night Shift - Graphic designing,CHANGE!,"Pondicherry - Marie Oulgaret, Cuddalore, Kathirkamam","10,000 - 12,000",Full Time Jobs,BPO/ Telecaller - Quality-Analyst,"03 May 2025, 10:25 AM"
Remote Advisor Custom Name Plates Division,Newtech india,Bangalore - Yeshwanthpur,"8,000 - 15,000",Full Time Jobs,BPO/ Telecaller,"03 May 2025, 10:08 AM"
Telecaller in office,Not mentioned,Hyderabad - Jubilee Hills,"13,000 - 20,000",Full Time Jobs,BPO/ Telecaller,"03 May 2025, 10:05 AM"
Urgent Requirement for female telecaller,Shri Estates,"Greaternoida - Greater Noida Extention West, Noida Extension","10,000 - 11,000",Full Time Jobs,"BPO/ Telecaller - Outgoing, Domestic","03 May 2025, 09:54 AM"
Visa Telecaller,Cross Guide Solution,Chandigarh - Sector 22-D,"12,000 - 18,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Sales","03 May 2025, 09:00 AM"
Support Executive,Groww,Kanpur - Naubasta,"15,000 - 20,000",Full Time Jobs,BPO/ Telecaller - Support,"03 May 2025, 07:49 AM"
Tele Caller,Satkar Software Solution Pvt. Ltd.,Pimprichinchwad - Chinchwad,"8,000 - 8,500",Full Time Jobs,"BPO/ Telecaller - Domestic, AR-Telecaller/-Medical-Billing","03 May 2025, 04:14 AM"
Computer Operator,Shivaye Associate,Kota - Chawani,"12,000 - 15,000",Full Time Jobs,BPO/ Telecaller - Recovery-Collection,"03 May 2025, 03:58 AM"
Sales Associate,MJS - RRL,"Navimumbai - Ghansoli, Sanpada, Kalamboli","14,000 - 15,000",Full Time Jobs,BPO/ Telecaller - Sales,"02 May 2025, 10:48 PM"
Voice Associate,NAZ V HR SOLUTIONS,Navimumbai - Belapur,"15,000 - 22,000",Full Time Jobs,"BPO/ Telecaller - Domestic, Voice","02 May 2025, 10:48 PM"
PART TIME JOB,INAVARAP,"Coimbatore - RS Puram, ATT Colony, Avinashi Road, Peelamedu + 1 more","20,000 - 40,000",Part Time Jobs,BPO/ Telecaller - Sales,"02 May 2025, 10:19 PM"
Telecaller Wanted,Not mentioned,"Chennai - Nungambakkam, Nungambakkam High Road","22,000 - 23,000",Full Time Jobs,BPO/ Telecaller,"02 May 2025, 09:52 PM"
need freshers for job,Not mentioned,"Nagpur - Ajni, Banwadi","5,000 - 15,500",Full Time Jobs,BPO/ Telecaller,"02 May 2025, 06:30 PM"
Real estate sales,Not mentioned,"Delhi - Abul Fazal Enclave, Okhla, South Delhi, Alaknanda + 1 more","18,000 - 40,000",Full Time Jobs,BPO/ Telecaller,"02 May 2025, 05:45 PM"
Real estate sales - Work from home,Not mentioned,"Ahmedabad - 132 Feet Ring Road, Aakaru Cher Road, Ahmedabad - Rajkot Highway, Ambli + 1 more","18,000 - 40,000",Full Time Jobs,BPO/ Telecaller,"02 May 2025, 05:22 PM"
Telecaller - US Process,Safebooks Global,"Ahmedabad - Satellite, SG Highway","10,000 - 20,000",Full Time Jobs,BPO/ Telecaller - International,"02 May 2025, 05:22 PM"
Sales officer,HDFC,"Chennai - Guindy, Perungudi, Vadapalani, Adyar","15,000 - 21,000",Full Time Jobs,BPO/ Telecaller - Sales,"02 May 2025, 05:11 PM"
"Need candidates for post of Telecaller, Receptionist and Counc",Not mentioned,"Chandigarh - SAS Nagar, Zirakpur, Industrial Area Phase I, Shivalik Enclave","18,000 - 25,000",Full Time Jobs,BPO/ Telecaller,"02 May 2025, 04:39 PM"
Telecalling office assistant,Not mentioned,"Gorakhpur - Alinagar, Awas Vikas Colony, Bhauwapar, Civil Lines + 1 more","16,500 - 26,500",Full Time Jobs,BPO/ Telecaller,"02 May 2025, 04:36 PM"
"Property Advisor, Sales executives",Investo Global Realty Private Limited,Bangalore - Hoodi,"18,000 - 99,000",Full Time Jobs,BPO/ Telecaller - Sales,"02 May 2025, 02:56 PM"
Field Sales,Paytm,Bangalore - 100 Feet Road-Koramangala,"18,000 - 19,000",Full Time Jobs,BPO/ Telecaller - Sales,"02 May 2025, 02:54 PM"
Sales Voice for Codingster,Annamraju designs & Technologies,"Hyderabad - Boduppal, Amberpet, Ramanthapur, Nagole + 1 more","15,000 - 16,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic, Voice + 1 more","02 May 2025, 01:27 PM"
Hiring for Office work,Not mentioned,Chennai - JJ Nagar,"25,000 - 36,000",Full Time Jobs,BPO/ Telecaller,"02 May 2025, 01:17 PM"
Sales Telecaller,Fincover,Trivandrum - Jagathy,"15,000 - 20,000",Full Time Jobs,"BPO/ Telecaller - Voice, Sales","02 May 2025, 12:54 PM"
Business Development,Verdus Hospitality Pvt Ltd,Rishikesh - Tapovan,"10,000 - 50,000",Work From Home,"BPO/ Telecaller - Domestic, Sales","02 May 2025, 10:48 AM"
Inside Sales Executive,bivocalbirds technologies private limited,Greaternoida - Amrapali Dream Valley,"15,000 - 16,000",Full Time Jobs,"BPO/ Telecaller - Domestic, Sales, Real-estate","02 May 2025, 10:46 AM"
FEMALE TELECALLER,ASSET TREE HOMES,Chennai - New Colony-Chromepet,"20,000 - 25,000",Full Time Jobs,"BPO/ Telecaller - Incoming, Outgoing, Domestic","02 May 2025, 10:38 AM"
International Outbound Calling Executive 1-5 years,Bawhan Cybertek Pvt Ltd,Chennai - Thoraipakkam,"36,000 - 37,000",Full Time Jobs,"BPO/ Telecaller - Outgoing, International, Voice, Sales","02 May 2025, 10:24 AM"
MERN STACK DEVELOPMENT COURSE IN INDORE,Not mentioned,"Indore - Vishnupuri Colony, Vishnu puri Colony","5,000 - 5,500",Part Time Jobs,"BPO/ Telecaller - Support, Technical","01 May 2025, 02:54 PM"
Telecaller job,Not mentioned,Lucknow - Dalibagh Colony,"8,000 - 11,000",Full Time Jobs,BPO/ Telecaller,"01 May 2025, 02:16 PM"
