title,company,location,salary,job_type,description,posted_date
WANTED DRIVER,Not mentioned,Chennai - Palavakkam,"52,000 - 60,000",Full Time Jobs,Driver,"30 Apr 2025, 10:10 AM"
Car driver,Not mentioned,"Rewari - Brass Market, Bhakti Nagar, Anand Nagar, Gokalgarh + 1 more","23,000 - 30,000",Full Time Jobs,Driver,"29 Apr 2025, 04:23 PM"
Join BluSmart as a Driver Start Earning Now In Noida,BLU-SMART FLEET PRIVATE LIMITED,"Noida - Khora Colony, Jhundpura, Kakrala, Momnathal + 1 more","25,000 - 30,000",Full Time Jobs,Join BluSmart as a Driver Start Earning Now In Noida,"29 Apr 2025, 03:09 PM"
Wanted Electric Taxi Driver for BluSmart Immediate Joining in Bangalore,BLU-SMART FLEET PRIVATE LIMITED,"Bangalore - A Dasarahalli, Achit Nagar, Attukal Layout, Bapagrama + 1 more","25,000 - 30,000",Full Time Jobs,Wanted Electric Taxi Driver for BluSmart Immediate Joining in Bangalore,"29 Apr 2025, 01:42 PM"
We are looking for good professional driver for our kitchen.,Not mentioned,"Coimbatore - Sungam, Peelamedu, Saibaba Colony, Nanjundapuram + 1 more","15,000 - 16,000",Full Time Jobs,We are looking for good professional driver for our kitchen.,"29 Apr 2025, 12:14 PM"
Join Everest Fleet as a Driver Today.,Everest Fleet Pvt.Ltd,"Mumbai - Byculla East, Worli Naka, Dadar East, Prabhadevi + 1 more","30,000 - 35,000",Full Time Jobs,Join Everest Fleet as a Driver Today.,"29 Apr 2025, 11:27 AM"
Now Hiring EV Drivers for BluSmart in Bangalore,BLU-SMART FLEET PRIVATE LIMITED,"Bangalore - Chikkabasavanapura, Cox Town, Doddabelavagi, Frazer Town + 1 more","25,000 - 30,000",Full Time Jobs,Now Hiring EV Drivers for BluSmart in Bangalore,"29 Apr 2025, 10:36 AM"
Urgent requirement for red taxi driver. badge compulsory,Not mentioned,"Coimbatore - Villankurichi, Ganapathy, Gandhimaa Nagar, Kovilpalayam + 1 more","25,000 - 35,000",Full Time Jobs,Urgent requirement for red taxi driver. badge compulsory,"29 Apr 2025, 10:35 AM"
Ambulance Driver,Not mentioned,Coimbatore - Neelambur,"16,000 - 18,600",Full Time Jobs,Ambulance Driver,"29 Apr 2025, 10:29 AM"
WANTED DRIVER,Not mentioned,Chennai - Egmore,"53,000 - 60,000",Full Time Jobs,WANTED DRIVER,"29 Apr 2025, 10:11 AM"
Driver for ev,Not mentioned,Jaipur - 200 Feet Bypass Road,"14,000 - 15,000",Full Time Jobs,Driver for ev,"29 Apr 2025, 12:03 AM"
Drivers with licence,Not mentioned,"Lucknow - Gomati Nagar, Gomti Nagar Extension, Gomti Nagar, Indira Nagar + 1 more","8,000 - 10,000",Full Time Jobs,Drivers with licence,"28 Apr 2025, 08:51 PM"
Hiring Electric Taxi Driver for BluSmart Join Today in Bangalore,BLU-SMART FLEET PRIVATE LIMITED,"Bangalore - Abbigere, Agara-HSR Layout, Andrahalli Main Road, Aavalahalli + 1 more","25,000 - 30,000",Full Time Jobs,Hiring Electric Taxi Driver for BluSmart Join Today in Bangalore,"28 Apr 2025, 07:37 PM"
"Drive for BluSmart Eco-Friendly Cabs, High Earnings In Bangalore",BLU-SMART FLEET PRIVATE LIMITED,"Bangalore - Cheemasandra, Chennappa Layout, Chikkabanavara, Dairy Circle + 1 more","25,000 - 30,000",Full Time Jobs,"Drive for BluSmart Eco-Friendly Cabs, High Earnings In Bangalore","28 Apr 2025, 04:37 PM"
Car Driver,ISKCON Bangalore,Bangalore - Whitefield,"28,000 - 29,000",Full Time Jobs,Car Driver,"28 Apr 2025, 01:03 PM"
Now Hiring EV Drivers for BluSmart in Bangalore,BLU-SMART FLEET PRIVATE LIMITED,"Bangalore - Bileshivale, Byrathi, Chikkanahalli, Dayananda Nagar + 1 more","25,000 - 30,000",Full Time Jobs,Now Hiring EV Drivers for BluSmart in Bangalore,"28 Apr 2025, 12:09 PM"
uber hero driver,Not mentioned,Guwahati - Pan Bazar,"30,000 - 45,000",Part Time Jobs,uber hero driver,"28 Apr 2025, 10:51 AM"
driver executive,Not mentioned,Chennai - Guindy,"20,000 - 50,000",Full Time Jobs,driver executive,"28 Apr 2025, 10:44 AM"
Dakshin Honda Is Urgently Hiring For Professional Driver for Premium Cars,ELITE AUTOMOBILES PVT LTD (Dakshin Honda),"Bangalore - Hosur Road, Bommanahalli, Shivaji Nagar, Singasandra + 1 more","18,000 - 23,000",Full Time Jobs,Dakshin Honda Is Urgently Hiring For Professional Driver for Premium Cars,"28 Apr 2025, 10:43 AM"
Car Drivers needed to drive in IT Company - Day or Night,AAA GROUPS,"Chennai - Royapettah, Kolathur, Guindy, Thiruvanmiyur + 1 more","22,000 - 23,000",Full Time Jobs,Car Drivers needed to drive in IT Company - Day or Night,"28 Apr 2025, 10:41 AM"
Vallet Parking Drivers,Not mentioned,Hyderabad - Miyapur,"18,000 - 19,000",Full Time Jobs,Vallet Parking Drivers,"28 Apr 2025, 10:40 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Sonbhadra - Renukoot, Chopan, Robertganj","25,000 - 30,000",Full Time Jobs,Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,"28 Apr 2025, 10:39 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Mirzapur - Mahant Shivala, Jamui, Marihan, Narayanpur + 1 more","25,000 - 30,000",Full Time Jobs,Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,"28 Apr 2025, 10:38 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Banda - Katra, Indira Nagar, Lama, Bangalipura + 1 more","25,000 - 30,000",Full Time Jobs,Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,"28 Apr 2025, 10:38 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Kushinagar - Kasia Bazaar, Narayanpur, Padrauna, Rabindra Nagar Dhoos + 1 more","25,000 - 30,000",Full Time Jobs,Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,"28 Apr 2025, 10:38 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Fatehpur - Krishna Bihari Nagar, Jahanabad, Khaga, Gautam Nagar + 1 more","25,000 - 30,000",Full Time Jobs,Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,"28 Apr 2025, 10:38 AM"
